document_index,run_id,protocol_id,scenario_id,token_id,token,count
0,extended_run_001,prt_0000_00,scn_0000,1,fact_duration_sec__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,4,fact_error_count__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,7,fact_recheck_count__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,9,fact_reject_count__absent,1
0,extended_run_001,prt_0000_00,scn_0000,12,fact_success__present,1
0,extended_run_001,prt_0000_00,scn_0000,13,prior_alpha_ratio__level_high,1
0,extended_run_001,prt_0000_00,scn_0000,18,prior_attention_deficit__level_mid,1
0,extended_run_001,prt_0000_00,scn_0000,19,prior_coding_tool_type__value_codebook,1
0,extended_run_001,prt_0000_00,scn_0000,25,prior_condition_mean_adjusted_attention__level_mid,1
0,extended_run_001,prt_0000_00,scn_0000,27,prior_condition_noise_adjustment__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,30,prior_condition_noise_level__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,34,prior_condition_profile__value_normal,1
0,extended_run_001,prt_0000_00,scn_0000,36,prior_condition_time_pressure__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,39,prior_condition_total_adjusted_time__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,42,prior_control_expected_detection_rate__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,45,prior_control_intensity__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,48,prior_control_marker_ratio__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,51,prior_digit_ratio__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,54,prior_expected_error_probability__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,57,prior_manual_operation_count__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,60,prior_mean_complexity__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,63,prior_mean_message_criticality__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,66,prior_memory_load_index__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,69,prior_message_entropy_estimate__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,72,prior_message_length__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,75,prior_operator_attention__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,78,prior_operator_error_susceptibility__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,81,prior_operator_fatigue__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,84,prior_operator_skill__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,87,prior_operator_total_estimated_time__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,90,prior_procedure_branch_count__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,93,prior_procedure_steps__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,96,prior_repetition_expected_count__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,99,prior_symbol_group_count__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,102,prior_time_pressure_index__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,105,prior_total_nominal_time__level_low,1
0,extended_run_001,prt_0000_00,scn_0000,107,prior_verification_required__absent,1
1,extended_run_001,prt_0001_00,scn_0001,1,fact_duration_sec__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,4,fact_error_count__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,7,fact_recheck_count__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,9,fact_reject_count__absent,1
1,extended_run_001,prt_0001_00,scn_0001,12,fact_success__present,1
1,extended_run_001,prt_0001_00,scn_0001,13,prior_alpha_ratio__level_high,1
1,extended_run_001,prt_0001_00,scn_0001,18,prior_attention_deficit__level_mid,1
1,extended_run_001,prt_0001_00,scn_0001,19,prior_coding_tool_type__value_codebook,1
1,extended_run_001,prt_0001_00,scn_0001,25,prior_condition_mean_adjusted_attention__level_mid,1
1,extended_run_001,prt_0001_00,scn_0001,27,prior_condition_noise_adjustment__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,30,prior_condition_noise_level__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,34,prior_condition_profile__value_normal,1
1,extended_run_001,prt_0001_00,scn_0001,36,prior_condition_time_pressure__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,39,prior_condition_total_adjusted_time__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,42,prior_control_expected_detection_rate__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,45,prior_control_intensity__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,48,prior_control_marker_ratio__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,51,prior_digit_ratio__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,54,prior_expected_error_probability__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,57,prior_manual_operation_count__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,60,prior_mean_complexity__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,63,prior_mean_message_criticality__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,66,prior_memory_load_index__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,69,prior_message_entropy_estimate__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,72,prior_message_length__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,75,prior_operator_attention__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,78,prior_operator_error_susceptibility__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,81,prior_operator_fatigue__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,84,prior_operator_skill__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,87,prior_operator_total_estimated_time__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,90,prior_procedure_branch_count__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,94,prior_procedure_steps__level_mid,1
1,extended_run_001,prt_0001_00,scn_0001,96,prior_repetition_expected_count__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,99,prior_symbol_group_count__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,102,prior_time_pressure_index__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,105,prior_total_nominal_time__level_low,1
1,extended_run_001,prt_0001_00,scn_0001,107,prior_verification_required__absent,1
2,extended_run_001,prt_0002_00,scn_0002,1,fact_duration_sec__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,4,fact_error_count__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,7,fact_recheck_count__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,9,fact_reject_count__absent,1
2,extended_run_001,prt_0002_00,scn_0002,12,fact_success__present,1
2,extended_run_001,prt_0002_00,scn_0002,13,prior_alpha_ratio__level_high,1
2,extended_run_001,prt_0002_00,scn_0002,18,prior_attention_deficit__level_mid,1
2,extended_run_001,prt_0002_00,scn_0002,19,prior_coding_tool_type__value_codebook,1
2,extended_run_001,prt_0002_00,scn_0002,25,prior_condition_mean_adjusted_attention__level_mid,1
2,extended_run_001,prt_0002_00,scn_0002,27,prior_condition_noise_adjustment__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,30,prior_condition_noise_level__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,34,prior_condition_profile__value_normal,1
2,extended_run_001,prt_0002_00,scn_0002,36,prior_condition_time_pressure__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,39,prior_condition_total_adjusted_time__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,42,prior_control_expected_detection_rate__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,45,prior_control_intensity__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,48,prior_control_marker_ratio__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,51,prior_digit_ratio__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,54,prior_expected_error_probability__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,58,prior_manual_operation_count__level_mid,1
2,extended_run_001,prt_0002_00,scn_0002,61,prior_mean_complexity__level_mid,1
2,extended_run_001,prt_0002_00,scn_0002,63,prior_mean_message_criticality__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,67,prior_memory_load_index__level_mid,1
2,extended_run_001,prt_0002_00,scn_0002,70,prior_message_entropy_estimate__level_mid,1
2,extended_run_001,prt_0002_00,scn_0002,72,prior_message_length__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,75,prior_operator_attention__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,78,prior_operator_error_susceptibility__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,81,prior_operator_fatigue__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,84,prior_operator_skill__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,88,prior_operator_total_estimated_time__level_mid,1
2,extended_run_001,prt_0002_00,scn_0002,90,prior_procedure_branch_count__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,92,prior_procedure_steps__level_high,1
2,extended_run_001,prt_0002_00,scn_0002,96,prior_repetition_expected_count__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,99,prior_symbol_group_count__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,102,prior_time_pressure_index__level_low,1
2,extended_run_001,prt_0002_00,scn_0002,106,prior_total_nominal_time__level_mid,1
2,extended_run_001,prt_0002_00,scn_0002,107,prior_verification_required__absent,1
3,extended_run_001,prt_0003_00,scn_0003,1,fact_duration_sec__level_low,1
3,extended_run_001,prt_0003_00,scn_0003,4,fact_error_count__level_low,1
3,extended_run_001,prt_0003_00,scn_0003,7,fact_recheck_count__level_low,1
3,extended_run_001,prt_0003_00,scn_0003,9,fact_reject_count__absent,1
3,extended_run_001,prt_0003_00,scn_0003,12,fact_success__present,1
3,extended_run_001,prt_0003_00,scn_0003,15,prior_alpha_ratio__level_mid,1
3,extended_run_001,prt_0003_00,scn_0003,18,prior_attention_deficit__level_mid,1
3,extended_run_001,prt_0003_00,scn_0003,19,prior_coding_tool_type__value_codebook,1
