
Algorithm       Hash                                                                   Path                              
---------       ----                                                                   ----                              
SHA256          6E3BD694344215431C963A2FEAE0DE956A035E3270C4D5B087353EFF7206782C       D:\Projects\man_coding_quality\...
SHA256          8702FFBC50387B89E2F8950501DE3A40A4475D9C170AC5494339BCCAADDBCB07       D:\Projects\man_coding_quality\...
SHA256          6AA9AC6B2E891DBB85E9339EF786EA59E5DA406D63337327E4E08AADDE10C67C       D:\Projects\man_coding_quality\...
SHA256          E0F35218932F8F69D503FA4186CB894FB1DFF54F8CBDF587AE1A2D23B2572F9F       D:\Projects\man_coding_quality\...
SHA256          3C8DBEDEC1409DC4E2982BC59638BFAF32061050C56BA310B33412EF926ED653       D:\Projects\man_coding_quality\...
SHA256          4B8CD5DEDFAE217EBEBD723D7DE13596FACF3C0558644715D1790314598DD518       D:\Projects\man_coding_quality\...
SHA256          06E631FEC1B9D1AEC04A6D7A916459801C282787AA29E7F3BC151D6A597616FB       D:\Projects\man_coding_quality\...
SHA256          D20DB9B28D5B3AF6E79C928ED6E2CBBB57D81AB0AD82AD67D9571CDDA93CB35D       D:\Projects\man_coding_quality\...


