model_name,diagnostic_kind,topic_id,token_id,token,document_frequency,weight
LDA_full,full,0,0,fact_duration_sec__level_high,50,0.0284621431416
LDA_full,full,0,1,fact_duration_sec__level_low,50,0.00019447857755
LDA_full,full,0,2,fact_duration_sec__level_mid,50,0.000217452803949
LDA_full,full,0,3,fact_error_count__level_high,50,0.0284573822199
LDA_full,full,0,4,fact_error_count__level_low,74,0.000200831841942
LDA_full,full,0,5,fact_error_count__level_mid,26,0.000244092329668
LDA_full,full,0,6,fact_recheck_count__level_high,36,0.000199821488263
LDA_full,full,0,7,fact_recheck_count__level_low,76,0.017699508521
LDA_full,full,0,8,fact_recheck_count__level_mid,38,0.000213602372662
LDA_full,full,0,9,fact_reject_count__absent,83,0.000219376578728
LDA_full,full,0,10,fact_reject_count__present,67,0.0293597834777
LDA_full,full,0,11,fact_success__absent,103,0.0385322903342
LDA_full,full,0,12,fact_success__present,47,0.000189365157448
LDA_full,full,0,13,prior_alpha_ratio__level_high,50,0.00736928052625
LDA_full,full,0,14,prior_alpha_ratio__level_low,50,0.0150575492111
LDA_full,full,0,15,prior_alpha_ratio__level_mid,50,0.00723234500971
LDA_full,full,0,16,prior_attention_deficit__level_high,49,0.0241519155472
LDA_full,full,0,17,prior_attention_deficit__level_low,51,0.000203358273722
LDA_full,full,0,18,prior_attention_deficit__level_mid,50,0.000215800304222
LDA_full,full,0,19,prior_coding_tool_type__value_codebook,46,0.00615484304796
LDA_full,full,0,20,prior_coding_tool_type__value_mixed,35,0.00019883593434
LDA_full,full,0,21,prior_coding_tool_type__value_mnemonic,23,0.00621902091741
LDA_full,full,0,22,prior_coding_tool_type__value_table,46,0.0119619916446
LDA_full,full,0,23,prior_condition_mean_adjusted_attention__level_high,44,0.000202392638635
LDA_full,full,0,24,prior_condition_mean_adjusted_attention__level_low,58,0.028551686013
LDA_full,full,0,25,prior_condition_mean_adjusted_attention__level_mid,48,0.000212019725826
LDA_full,full,0,26,prior_condition_noise_adjustment__level_high,33,0.00619101611901
LDA_full,full,0,27,prior_condition_noise_adjustment__level_low,84,0.0126957625639
LDA_full,full,0,28,prior_condition_noise_adjustment__level_mid,33,0.00688599291908
LDA_full,full,0,29,prior_condition_noise_level__level_high,33,0.00619101611901
LDA_full,full,0,30,prior_condition_noise_level__level_low,84,0.0126957625639
